vg	V(n001)	V(n002)	I(Vdd)	I(Vg)	Ib(M1)	Id(M1)	Ig(M1)	Is(M1)
Step Information: Vdd=0  (Step: 1/11)
1.000000000000000e+00	5.000000e+00	1.000000e+00	-1.000001e-05	0.000000e+00	-5.010000e-12	1.000001e-05	0.000000e+00	-1.000001e-05
2.000000000000000e+00	5.000000e+00	2.000000e+00	-4.000001e-05	0.000000e+00	-5.010000e-12	4.000001e-05	0.000000e+00	-4.000001e-05
3.000000000000000e+00	5.000000e+00	3.000000e+00	-9.000001e-05	0.000000e+00	-5.010000e-12	9.000001e-05	0.000000e+00	-9.000000e-05
4.000000000000000e+00	5.000000e+00	4.000000e+00	-1.600000e-04	0.000000e+00	-5.010000e-12	1.600000e-04	0.000000e+00	-1.600000e-04
5.000000000000000e+00	5.000000e+00	5.000000e+00	-2.500000e-04	0.000000e+00	-5.010000e-12	2.500000e-04	0.000000e+00	-2.500000e-04
6.000000000000000e+00	5.000000e+00	6.000000e+00	-3.500000e-04	0.000000e+00	-5.010000e-12	3.500000e-04	0.000000e+00	-3.500000e-04
7.000000000000000e+00	5.000000e+00	7.000000e+00	-4.500000e-04	0.000000e+00	-5.010000e-12	4.500000e-04	0.000000e+00	-4.500000e-04
8.000000000000000e+00	5.000000e+00	8.000000e+00	-5.500000e-04	0.000000e+00	-5.010000e-12	5.500000e-04	0.000000e+00	-5.500000e-04
9.000000000000000e+00	5.000000e+00	9.000000e+00	-6.500000e-04	0.000000e+00	-5.010000e-12	6.500000e-04	0.000000e+00	-6.500000e-04
1.000000000000000e+01	5.000000e+00	1.000000e+01	-7.500000e-04	0.000000e+00	-5.010000e-12	7.500000e-04	0.000000e+00	-7.500000e-04
Step Information: Vdd=6  (Step: 7/11)
0.000000000000000e+00	6.000000e+00	0.000000e+00	-1.201000e-11	0.000000e+00	-6.010000e-12	1.201000e-11	0.000000e+00	-6.000000e-12
1.000000000000000e+00	6.000000e+00	1.000000e+00	-1.000001e-05	0.000000e+00	-6.010000e-12	1.000001e-05	0.000000e+00	-1.000001e-05
2.000000000000000e+00	6.000000e+00	2.000000e+00	-4.000001e-05	0.000000e+00	-6.010000e-12	4.000001e-05	0.000000e+00	-4.000001e-05
3.000000000000000e+00	6.000000e+00	3.000000e+00	-9.000001e-05	0.000000e+00	-6.010000e-12	9.000001e-05	0.000000e+00	-9.000001e-05
4.000000000000000e+00	6.000000e+00	4.000000e+00	-1.600000e-04	0.000000e+00	-6.010000e-12	1.600000e-04	0.000000e+00	-1.600000e-04
5.000000000000000e+00	6.000000e+00	5.000000e+00	-2.500000e-04	0.000000e+00	-6.010000e-12	2.500000e-04	0.000000e+00	-2.500000e-04
6.000000000000000e+00	6.000000e+00	6.000000e+00	-3.600000e-04	0.000000e+00	-6.010000e-12	3.600000e-04	0.000000e+00	-3.600000e-04
7.000000000000000e+00	6.000000e+00	7.000000e+00	-4.800000e-04	0.000000e+00	-6.010000e-12	4.800000e-04	0.000000e+00	-4.800000e-04
8.000000000000000e+00	6.000000e+00	8.000000e+00	-6.000000e-04	0.000000e+00	-6.010000e-12	6.000000e-04	0.000000e+00	-6.000000e-04
9.000000000000000e+00	6.000000e+00	9.000000e+00	-7.200000e-04	0.000000e+00	-6.010000e-12	7.200000e-04	0.000000e+00	-7.200000e-04
1.000000000000000e+01	6.000000e+00	1.000000e+01	-8.400000e-04	0.000000e+00	-6.010000e-12	8.400000e-04	0.000000e+00	-8.400000e-04
Step Information: Vdd=7  (Step: 8/11)
0.000000000000000e+00	7.000000e+00	0.000000e+00	-1.401000e-11	0.000000e+00	-7.010000e-12	1.401000e-11	0.000000e+00	-7.000000e-12
1.000000000000000e+00	7.000000e+00	1.000000e+00	-1.000001e-05	0.000000e+00	-7.010000e-12	1.000001e-05	0.000000e+00	-1.000001e-05
2.000000000000000e+00	7.000000e+00	2.000000e+00	-4.000001e-05	0.000000e+00	-7.010000e-12	4.000001e-05	0.000000e+00	-4.000001e-05
3.000000000000000e+00	7.000000e+00	3.000000e+00	-9.000002e-05	0.000000e+00	-7.010000e-12	9.000002e-05	0.000000e+00	-9.000001e-05
4.000000000000000e+00	7.000000e+00	4.000000e+00	-1.600000e-04	0.000000e+00	-7.010000e-12	1.600000e-04	0.000000e+00	-1.600000e-04
5.000000000000000e+00	7.000000e+00	5.000000e+00	-2.500000e-04	0.000000e+00	-7.010000e-12	2.500000e-04	0.000000e+00	-2.500000e-04
6.000000000000000e+00	7.000000e+00	6.000000e+00	-3.600000e-04	0.000000e+00	-7.010000e-12	3.600000e-04	0.000000e+00	-3.600000e-04
7.000000000000000e+00	7.000000e+00	7.000000e+00	-4.900000e-04	0.000000e+00	-7.010000e-12	4.900000e-04	0.000000e+00	-4.900000e-04
8.000000000000000e+00	7.000000e+00	8.000000e+00	-6.300000e-04	0.000000e+00	-7.010000e-12	6.300000e-04	0.000000e+00	-6.300000e-04
