vi	V(vgs)	V(n002)	Id(M1)
Step Information: Vdd=0  (Step: 1/16)
3.000000000000000e+01	5.358054e+00	3.000000e+01	1.264194e+00
Step Information: Vdd=20  (Step: 11/16)
0.000000000000000e+00	2.000000e+01	0.000000e+00	2.279783e-11
2.000000000000000e+00	1.950379e+01	2.000000e+00	4.963108e-02
4.000000000000000e+00	1.316324e+01	4.000000e+00	6.837291e-01
6.000000000000000e+00	6.532129e+00	6.000000e+00	1.346684e+00
8.000000000000000e+00	6.176733e+00	8.000000e+00	1.382322e+00
1.000000000000000e+01	6.085176e+00	1.000000e+01	1.391454e+00
1.200000000000000e+01	6.041550e+00	1.200000e+01	1.395845e+00
1.400000000000000e+01	6.015847e+00	1.400000e+01	1.398174e+00
1.600000000000000e+01	5.998903e+00	1.600000e+01	1.400052e+00
1.800000000000000e+01	5.986863e+00	1.800000e+01	1.401296e+00
2.000000000000000e+01	5.977866e+00	2.000000e+01	1.402206e+00
2.200000000000000e+01	5.970886e+00	2.200000e+01	1.402908e+00
2.400000000000000e+01	5.965313e+00	2.400000e+01	1.403467e+00
2.600000000000000e+01	5.960761e+00	2.600000e+01	1.403923e+00
2.800000000000000e+01	5.956971e+00	2.800000e+01	1.404302e+00
3.000000000000000e+01	5.953767e+00	3.000000e+01	1.404623e+00
Step Information: Vdd=22  (Step: 12/16)
0.000000000000000e+00	2.200000e+01	0.000000e+00	2.479801e-11
2.000000000000000e+00	2.150379e+01	2.000000e+00	4.963108e-02
4.000000000000000e+00	1.516324e+01	4.000000e+00	6.837291e-01
6.000000000000000e+00	7.416227e+00	6.000000e+00	1.458103e+00
8.000000000000000e+00	6.817239e+00	8.000000e+00	1.518271e+00
1.000000000000000e+01	6.702599e+00	1.000000e+01	1.529417e+00
1.200000000000000e+01	6.650495e+00	1.200000e+01	1.534950e+00
1.400000000000000e+01	6.620412e+00	1.400000e+01	1.537594e+00
1.600000000000000e+01	6.600835e+00	1.600000e+01	1.539833e+00
1.800000000000000e+01	6.587034e+00	1.800000e+01	1.541271e+00
2.000000000000000e+01	6.576781e+00	2.000000e+01	1.542312e+00
2.200000000000000e+01	6.568862e+00	2.200000e+01	1.543110e+00
2.400000000000000e+01	6.562560e+00	2.400000e+01	1.543742e+00
