vi	V(vgs)	V(n002)	Id(M1)
Step Information: Vdd=0  (Step: 1/21)
7.000000000000000e+00	3.736011e+00	7.000000e+00	1.262615e+03
8.000000000000000e+00	3.603489e+00	8.000000e+00	1.396506e+03
9.000000000000000e+00	3.542539e+00	9.000000e+00	1.457448e+03
1.000000000000000e+01	3.505418e+00	1.000000e+01	1.494582e+03
1.100000000000000e+01	3.479943e+00	1.100000e+01	1.519652e+03
1.200000000000000e+01	3.461303e+00	1.200000e+01	1.538560e+03
1.300000000000000e+01	3.446969e+00	1.300000e+01	1.552977e+03
1.400000000000000e+01	3.435582e+00	1.400000e+01	1.564393e+03
1.500000000000000e+01	3.426305e+00	1.500000e+01	1.573683e+03
1.600000000000000e+01	3.418593e+00	1.600000e+01	1.581400e+03
1.700000000000000e+01	3.412078e+00	1.700000e+01	1.587918e+03
1.800000000000000e+01	3.406497e+00	1.800000e+01	1.593501e+03
1.900000000000000e+01	3.401662e+00	1.900000e+01	1.598337e+03
2.000000000000000e+01	3.397431e+00	2.000000e+01	1.602568e+03
Step Information: Vdd=6  (Step: 7/21)
0.000000000000000e+00	6.000000e+00	0.000000e+00	1.125026e-11
1.000000000000000e+00	6.000000e+00	1.000000e+00	1.125031e-11
2.000000000000000e+00	6.000000e+00	2.000000e+00	2.260975e-08
3.000000000000000e+00	5.997498e+00	3.000000e+00	2.502643e+00
4.000000000000000e+00	5.856535e+00	4.000000e+00	1.434648e+02
5.000000000000000e+00	5.554523e+00	5.000000e+00	4.454780e+02
6.000000000000000e+00	5.151846e+00	6.000000e+00	8.492635e+02
7.000000000000000e+00	4.678196e+00	7.000000e+00	1.322370e+03
8.000000000000000e+00	4.368192e+00	8.000000e+00	1.630996e+03
9.000000000000000e+00	4.272243e+00	9.000000e+00	1.726743e+03
1.000000000000000e+01	4.219466e+00	1.000000e+01	1.780533e+03
1.100000000000000e+01	4.184687e+00	1.100000e+01	1.814338e+03
1.200000000000000e+01	4.159956e+00	1.200000e+01	1.839745e+03
1.300000000000000e+01	4.141242e+00	1.300000e+01	1.858653e+03
1.400000000000000e+01	4.126548e+00	1.400000e+01	1.873406e+03
1.500000000000000e+01	4.114683e+00	1.500000e+01	1.885294e+03
1.600000000000000e+01	4.104890e+00	1.600000e+01	1.895098e+03
1.700000000000000e+01	4.096662e+00	1.700000e+01	1.903332e+03
1.800000000000000e+01	4.089646e+00	1.800000e+01	1.910350e+03
1.900000000000000e+01	4.083591e+00	1.900000e+01	1.916406e+03
2.000000000000000e+01	4.078310e+00	2.000000e+01	1.921688e+03
Step Information: Vdd=7  (Step: 8/21)
0.000000000000000e+00	7.000000e+00	0.000000e+00	1.213844e-11
1.000000000000000e+00	7.000000e+00	1.000000e+00	1.213849e-11
2.000000000000000e+00	7.000000e+00	2.000000e+00	2.282383e-08
3.000000000000000e+00	6.997475e+00	3.000000e+00	2.525731e+00
4.000000000000000e+00	6.855439e+00	4.000000e+00	1.445615e+02
5.000000000000000e+00	6.551536e+00	5.000000e+00	4.484645e+02
6.000000000000000e+00	6.146695e+00	6.000000e+00	8.544298e+02
7.000000000000000e+00	5.670753e+00	7.000000e+00	1.329819e+03
8.000000000000000e+00	5.181765e+00	8.000000e+00	1.817679e+03
9.000000000000000e+00	5.016445e+00	9.000000e+00	1.983552e+03
1.000000000000000e+01	4.940613e+00	1.000000e+01	2.059359e+03
1.100000000000000e+01	4.893918e+00	1.100000e+01	2.106082e+03
1.200000000000000e+01	4.861538e+00	1.200000e+01	2.137851e+03
1.300000000000000e+01	4.837647e+00	1.300000e+01	2.162142e+03
1.400000000000000e+01	4.819140e+00	1.400000e+01	2.180777e+03
1.500000000000000e+01	4.804344e+00	1.500000e+01	2.195617e+03
1.600000000000000e+01	4.792224e+00	1.600000e+01	2.207756e+03
1.700000000000000e+01	4.782103e+00	1.700000e+01	2.217886e+03
1.800000000000000e+01	4.773517e+00	1.800000e+01	2.226477e+03
1.900000000000000e+01	4.766136e+00	1.900000e+01	2.233860e+03
2.000000000000000e+01	4.759721e+00	2.000000e+01	2.240277e+03
Step Information: Vdd=8  (Step: 9/21)
0.000000000000000e+00	8.000000e+00	0.000000e+00	1.332268e-11
1.000000000000000e+00	8.000000e+00	1.000000e+00	1.332272e-11
2.000000000000000e+00	8.000000e+00	2.000000e+00	2.303821e-08
3.000000000000000e+00	7.997452e+00	3.000000e+00	2.548810e+00
4.000000000000000e+00	7.854346e+00	4.000000e+00	1.456545e+02
5.000000000000000e+00	7.548564e+00	5.000000e+00	4.514361e+02
6.000000000000000e+00	7.141574e+00	6.000000e+00	8.595648e+02
7.000000000000000e+00	6.663360e+00	7.000000e+00	1.337218e+03
8.000000000000000e+00	6.134466e+00	8.000000e+00	1.865832e+03
9.000000000000000e+00	5.783296e+00	9.000000e+00	2.215703e+03
1.000000000000000e+01	5.671104e+00	1.000000e+01	2.327514e+03
1.100000000000000e+01	5.608419e+00	1.100000e+01	2.391579e+03
1.200000000000000e+01	5.566561e+00	1.200000e+01	2.432137e+03
1.300000000000000e+01	5.536500e+00	1.300000e+01	2.463090e+03
1.400000000000000e+01	5.513561e+00	1.400000e+01	2.486293e+03
1.500000000000000e+01	5.495424e+00	1.500000e+01	2.504510e+03
1.600000000000000e+01	5.480694e+00	1.600000e+01	2.519273e+03
1.700000000000000e+01	5.468475e+00	1.700000e+01	2.531508e+03
1.800000000000000e+01	5.458163e+00	1.800000e+01	2.541827e+03
1.900000000000000e+01	5.449338e+00	1.900000e+01	2.550656e+03
